Date,State,Latitude,Longitude,CLOUD_AMT,AOD_55,PW,QV2M,T2M,RH2M,WS50M,PS,TOA_SW_DWN,ALLSKY_SFC_SW_DWN,Month,Season,Zenith_Angle,DayLength_hours
2015-01-01,Andaman and Nicobar Islands,11.6234,92.7265,47.43,0.2,5.29,18.15,27.87,77.74,9.18,101.09,8.4209,4.5797,1,Winter,34.63503672786925,11.331750437971394
2015-01-02,Andaman and Nicobar Islands,11.6234,92.7265,34.39,0.23,5.0,18.01,27.59,78.5,7.11,101.22,8.43,5.0522,1,Winter,34.553943608307655,11.33438414884396
2015-01-03,Andaman and Nicobar Islands,11.6234,92.7265,26.37,0.27,3.92,16.08,27.48,70.64,5.16,101.24,8.4408,5.3515,1,Winter,34.466055673793264,11.337234890988828
2015-01-04,Andaman and Nicobar Islands,11.6234,92.7265,28.68,0.3,3.07,15.72,26.89,71.45,3.84,101.12,8.4538,5.3926,1,Winter,34.37139896741784,11.340300965170671
2015-01-05,Andaman and Nicobar Islands,11.6234,92.7265,14.47,0.21,3.02,14.94,27.03,67.34,2.81,101.07,8.4684,5.6532,1,Winter,34.27000153800635,11.343580555344738
2015-01-06,Andaman and Nicobar Islands,11.6234,92.7265,28.47,0.16,3.35,17.15,27.3,75.95,4.82,101.03,8.4845,5.555,1,Winter,34.16189343180545,11.347071732168816
2015-01-07,Andaman and Nicobar Islands,11.6234,92.7265,27.35,0.17,3.96,17.13,27.15,76.59,5.3,101.04,8.5006,5.0839,1,Winter,34.047106683580196,11.35077245669567
2015-01-08,Andaman and Nicobar Islands,11.6234,92.7265,41.78,0.21,3.97,15.86,27.16,71.02,4.52,101.16,8.5162,5.6006,1,Winter,33.92567530712135,11.354680584231764
2015-01-09,Andaman and Nicobar Islands,11.6234,92.7265,91.7,0.31,4.6,16.31,26.95,73.9,4.88,101.22,8.5318,3.139,1,Winter,33.7976352851665,11.358793868347693
2015-01-10,Andaman and Nicobar Islands,11.6234,92.7265,67.87,0.33,3.97,15.38,26.9,69.92,7.01,101.18,8.5486,4.3608,1,Winter,33.66302455873745,11.363109965025409
2015-01-11,Andaman and Nicobar Islands,11.6234,92.7265,73.1,0.43,3.34,15.42,26.57,71.42,6.24,101.15,8.5651,4.781,1,Winter,33.5218830158976,11.367626436926932
2015-01-12,Andaman and Nicobar Islands,11.6234,92.7265,73.46,0.27,3.89,16.79,26.71,77.08,5.97,101.1,8.5829,4.8089,1,Winter,33.37425247993215,11.372340757769193
2015-01-13,Andaman and Nicobar Islands,11.6234,92.7265,74.79,0.23,4.52,18.59,27.47,81.41,7.38,101.02,8.603,4.3615,1,Winter,33.22017669695508,11.377250316789402
2015-01-14,Andaman and Nicobar Islands,11.6234,92.7265,70.57,0.26,5.3,18.15,27.76,78.23,8.83,101.11,8.6232,3.7318,1,Winter,33.059701322946076,11.382352423285452
2015-01-15,Andaman and Nicobar Islands,11.6234,92.7265,98.56,0.38,5.52,17.85,27.68,77.37,7.92,101.19,8.6438,0.6127,1,Winter,32.892873910221816,11.38764431121572
2015-01-16,Andaman and Nicobar Islands,11.6234,92.7265,95.72,0.28,5.5,18.12,27.47,79.46,5.0,101.15,8.664,2.6827,1,Winter,32.71974389334511,11.39312314384297
2015-01-17,Andaman and Nicobar Islands,11.6234,92.7265,98.05,0.23,5.06,16.85,27.56,73.71,4.32,101.21,8.6851,2.6201,1,Winter,32.54036257447642,11.398786018407076
