Date,State,Latitude,Longitude,CLOUD_AMT,AOD_55,PW,QV2M,T2M,RH2M,WS50M,PS,TOA_SW_DWN,ALLSKY_SFC_SW_DWN,year,month,day,solar_energy_estimate,day_of_week,is_weekend,solar_lag_1,solar_lag_7,solar_roll_mean_7
2015-01-01,Andaman and Nicobar Islands,11.6234,92.7265,47.43,0.2,5.29,18.15,27.87,77.74,9.18,101.09,8.4209,4.5797,2015,1,1,0.91594,3,0,4.5797,4.5797,5.2383
2015-01-02,Andaman and Nicobar Islands,11.6234,92.7265,34.39,0.23,5.0,18.01,27.59,78.5,7.11,101.22,8.43,5.0522,2015,1,2,1.01044,4,0,4.5797,4.5797,5.2383
2015-01-03,Andaman and Nicobar Islands,11.6234,92.7265,26.37,0.27,3.92,16.08,27.48,70.64,5.16,101.24,8.4408,5.3515,2015,1,3,1.0703,5,1,5.0522,4.5797,5.2383
2015-01-04,Andaman and Nicobar Islands,11.6234,92.7265,28.68,0.3,3.07,15.72,26.89,71.45,3.84,101.12,8.4538,5.3926,2015,1,4,1.07852,6,1,5.3515,4.5797,5.2383
2015-01-05,Andaman and Nicobar Islands,11.6234,92.7265,14.47,0.21,3.02,14.94,27.03,67.34,2.81,101.07,8.4684,5.6532,2015,1,5,1.13064,0,0,5.3926,4.5797,5.2383
2015-01-06,Andaman and Nicobar Islands,11.6234,92.7265,28.47,0.16,3.35,17.15,27.3,75.95,4.82,101.03,8.4845,5.555,2015,1,6,1.111,1,0,5.6532,4.5797,5.2383
2015-01-07,Andaman and Nicobar Islands,11.6234,92.7265,27.35,0.17,3.96,17.13,27.15,76.59,5.3,101.04,8.5006,5.0839,2015,1,7,1.01678,2,0,5.555,4.5797,5.2383
2015-01-08,Andaman and Nicobar Islands,11.6234,92.7265,41.78,0.21,3.97,15.86,27.16,71.02,4.52,101.16,8.5162,5.6006,2015,1,8,1.12012,3,0,5.0839,4.5797,5.384142857142856
2015-01-09,Andaman and Nicobar Islands,11.6234,92.7265,91.7,0.31,4.6,16.31,26.95,73.9,4.88,101.22,8.5318,3.139,2015,1,9,0.6278,4,0,5.6006,5.0522,5.110828571428571
2015-01-10,Andaman and Nicobar Islands,11.6234,92.7265,67.87,0.33,3.97,15.38,26.9,69.92,7.01,101.18,8.5486,4.3608,2015,1,10,0.87216,5,1,3.139,5.3515,4.9693
2015-01-11,Andaman and Nicobar Islands,11.6234,92.7265,73.1,0.43,3.34,15.42,26.57,71.42,6.24,101.15,8.5651,4.781,2015,1,11,0.9562,6,1,4.3608,5.3926,4.881928571428571
2015-01-12,Andaman and Nicobar Islands,11.6234,92.7265,73.46,0.27,3.89,16.79,26.71,77.08,5.97,101.1,8.5829,4.8089,2015,1,12,0.96178,0,0,4.781,5.6532,4.761314285714286
2015-01-13,Andaman and Nicobar Islands,11.6234,92.7265,74.79,0.23,4.52,18.59,27.47,81.41,7.38,101.02,8.603,4.3615,2015,1,13,0.8723000000000001,1,0,4.8089,5.555,4.590814285714286
2015-01-14,Andaman and Nicobar Islands,11.6234,92.7265,70.57,0.26,5.3,18.15,27.76,78.23,8.83,101.11,8.6232,3.7318,2015,1,14,0.74636,2,0,4.3615,5.0839,4.397657142857143
2015-01-15,Andaman and Nicobar Islands,11.6234,92.7265,98.56,0.38,5.52,17.85,27.68,77.37,7.92,101.19,8.6438,0.6127,2015,1,15,0.12254,3,0,3.7318,5.6006,3.6851
2015-01-16,Andaman and Nicobar Islands,11.6234,92.7265,95.72,0.28,5.5,18.12,27.47,79.46,5.0,101.15,8.664,2.6827,2015,1,16,0.53654,4,0,0.6127,3.139,3.619914285714286
