Date,State,Latitude,Longitude,WS10M,WS50M,PS,T2M,WD10M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2015-01-01,Andaman and Nicobar Islands,11.6234,92.7265,8.06,9.18,101.09,27.87,113.6,28.18,27.57,23.64,77.74,2.46,4.5797
2015-01-02,Andaman and Nicobar Islands,11.6234,92.7265,6.38,7.11,101.22,27.59,94.8,27.8,27.2,23.53,78.5,1.24,5.0522
2015-01-03,Andaman and Nicobar Islands,11.6234,92.7265,4.73,5.16,101.24,27.48,81.2,27.9,26.87,21.68,70.64,0.1,5.3515
2015-01-04,Andaman and Nicobar Islands,11.6234,92.7265,3.58,3.84,101.12,26.89,71.8,27.42,26.21,21.31,71.45,0.0,5.3926
2015-01-05,Andaman and Nicobar Islands,11.6234,92.7265,2.64,2.81,101.07,27.03,34.5,27.46,26.46,20.47,67.34,0.01,5.6532
2015-01-06,Andaman and Nicobar Islands,11.6234,92.7265,4.44,4.82,101.03,27.3,35.0,27.94,26.61,22.7,75.95,0.23,5.555
2015-01-07,Andaman and Nicobar Islands,11.6234,92.7265,4.89,5.3,101.04,27.15,24.2,27.68,26.57,22.69,76.59,0.3,5.0839
2015-01-08,Andaman and Nicobar Islands,11.6234,92.7265,4.2,4.52,101.16,27.16,13.4,27.68,26.6,21.45,71.02,0.2,5.6006
2015-01-09,Andaman and Nicobar Islands,11.6234,92.7265,4.53,4.88,101.22,26.95,18.6,27.16,26.49,21.91,73.9,1.85,3.139
2015-01-10,Andaman and Nicobar Islands,11.6234,92.7265,6.39,7.01,101.18,26.9,14.6,27.43,26.36,20.96,69.92,0.48,4.3608
2015-01-11,Andaman and Nicobar Islands,11.6234,92.7265,5.73,6.24,101.15,26.57,17.7,27.08,26.05,20.99,71.42,0.94,4.781
2015-01-12,Andaman and Nicobar Islands,11.6234,92.7265,5.46,5.97,101.1,26.71,39.3,27.64,25.79,22.34,77.08,4.47,4.8089
2015-01-13,Andaman and Nicobar Islands,11.6234,92.7265,6.58,7.38,101.02,27.47,101.6,27.96,26.81,24.02,81.41,12.72,4.3615
2015-01-14,Andaman and Nicobar Islands,11.6234,92.7265,7.77,8.83,101.11,27.76,113.7,28.31,27.19,23.65,78.23,5.26,3.7318
